Model,Validation Accuracy,Total Training Time (s),Avg Epoch Time (s),F1 Scores
efficientnet,0.9972936400541272,164.76616382598877,32.953232765197754,"{'cats': 0.9958246346555324, 'dogs': 0.997997997997998}"
mobilenet,0.993234100135318,147.9619266986847,29.59238533973694,"{'cats': 0.9896049896049897, 'dogs': 0.9949849548645938}"
